Order,Seasonal Order,AIC,BIC
"(3, 0, 5)","(1, 0, 1, 52)",4113.312854501477,4145.592067765914
"(3, 0, 5)","(1, 1, 0, 52)",1583.7820430222469,1608.7801397255496
"(3, 0, 5)","(1, 1, 1, 52)",1531.754761164656,1558.8797504698564
"(3, 0, 6)","(0, 0, 0, 52)",3479.9994957330364,3512.4697364546414
"(3, 0, 6)","(0, 0, 1, 52)",6845.918584109168,6878.118374645896
"(3, 0, 6)","(0, 1, 0, 52)",2448.565416170758,2477.83795302233
"(3, 0, 6)","(0, 1, 1, 52)",1512.0755125617063,1539.073332820495
"(3, 0, 6)","(1, 0, 0, 52)",2540.686323020562,2573.200420654176
"(3, 0, 6)","(1, 0, 1, 52)",3186.6260951938375,3221.753139415724
"(3, 0, 6)","(1, 1, 0, 52)",1586.2245172747332,1613.7224236483662
"(3, 0, 6)","(1, 1, 1, 52)",1515.4404319481498,1544.8925995031918
"(3, 1, 0)","(0, 0, 0, 52)",3528.6704930622655,3541.721253817885
"(3, 1, 0)","(0, 0, 1, 52)",11731.293119409627,11746.107342560927
"(3, 1, 0)","(0, 1, 0, 52)",2508.0365628109075,2519.83160237242
"(3, 1, 0)","(0, 1, 1, 52)",1609.3755945371638,1621.9298920697481
"(3, 1, 0)","(1, 0, 0, 52)",2491.7030568411274,2506.4468562930183
"(3, 1, 0)","(1, 0, 1, 52)",5393.835434423723,5411.5279937659925
"(3, 1, 0)","(1, 1, 0, 52)",1572.0587340545228,1584.5019159031835
"(3, 1, 0)","(1, 1, 1, 52)",1566.271971005932,1581.203789224325
"(3, 1, 1)","(0, 0, 0, 52)",3523.9277004478918,3540.241151392416
"(3, 1, 1)","(0, 0, 1, 52)",817.797093104976,835.5320554505836
"(3, 1, 1)","(0, 1, 0, 52)",2509.7449935374043,2524.4887929892952
"(3, 1, 1)","(0, 1, 1, 52)",1581.1254651467816,1596.124323168763
"(3, 1, 1)","(1, 0, 0, 52)",2511.9501357147265,2529.6426950569953
"(3, 1, 1)","(1, 0, 1, 52)",8059.075555268274,8079.716874500921
"(3, 1, 1)","(1, 1, 0, 52)",1568.3773953787347,1583.3092135971276
"(3, 1, 1)","(1, 1, 1, 52)",1567.8128238079441,1585.2332783960692
"(3, 1, 2)","(0, 0, 0, 52)",3525.330619724435,3544.9067608578644
"(3, 1, 2)","(0, 0, 1, 52)",11513.163122801398,11533.804442034045
"(3, 1, 2)","(0, 1, 0, 52)",2511.8633881783453,2529.555947520614
"(3, 1, 2)","(0, 1, 1, 52)",1564.5747922028672,1581.9952467909923
"(3, 1, 2)","(1, 0, 0, 52)",2512.407742783006,2533.0490620156534
"(3, 1, 2)","(1, 0, 1, 52)",11251.464948748137,11275.055027871162
"(3, 1, 2)","(1, 1, 0, 52)",1569.0754814741763,1586.4959360623013
"(3, 1, 2)","(1, 1, 1, 52)",1566.6992056113477,1586.6082965692049
"(3, 1, 3)","(0, 0, 0, 52)",3509.0302757162744,3531.832743320469
"(3, 1, 3)","(0, 0, 1, 52)",9793.182942290565,9816.716081671439
"(3, 1, 3)","(0, 1, 0, 52)",2494.7683770288004,2515.3598739870654
"(3, 1, 3)","(0, 1, 1, 52)",1545.5307726673027,1565.3494671831284
